scheme_code,scheme_name,data_points,oldest_date,latest_date
100151,Principal Retail Equity Savings Fund - Growth Option,1952,2006-04-03,2014-02-28
100188,ING Core Equity Fund-Dividend Option,2099,2006-04-03,2014-10-09
100189,ING Core Equity Fund-Growth Option,2099,2006-04-03,2014-10-09
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,4869,2006-04-02,2026-01-09
100356,ICICI Prudential Equity & Debt Fund - Growth,4869,2006-04-02,2026-01-09
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,3879,2006-04-03,2021-12-31
101265,Principal Hybrid Equity Fund-Growth,3874,2006-04-03,2021-12-30
101266,Principal Hybrid Equity Fund- Monthly Income Distribution CUM Capital Withdrawal,3874,2006-04-03,2021-12-30
101472,Sundaram Equity Hybrid Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),3879,2006-04-03,2021-12-31
101498,Principal Equity Savings Fund - Growth Option,3823,2006-04-03,2021-12-30
101499,Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,3823,2006-04-03,2021-12-30
101500,Principal Equity Savings Fund -Quaterly Income Distribution CUM Capital Withdrawal,3823,2006-04-03,2021-12-30
101551,SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),4854,2006-04-03,2026-01-09
101585,HDFC Equity Savings Fund - GROWTH PLAN,4834,2006-04-03,2026-01-09
101586,HDFC Equity Savings Fund - IDCW PLAN,4834,2006-04-03,2026-01-09
101609,TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,4819,2006-04-03,2026-01-08
101628,DWS Alpha Equity Fund - Dividend,2441,2006-04-03,2016-03-02
101629,DWS Alpha Equity Fund - Growth,2441,2006-04-03,2016-03-02
101834,UTI - Master Equity Plan Unit Scheme,4863,2006-04-03,2026-01-09
101906,Tata Equity Savings Fund -Regular Plan-Growth Option,4819,2006-04-03,2026-01-08
101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option,3918,2006-04-03,2022-03-13
101913,BARODA HYBRID EQUITY FUND - Plan A - IDCW Option,3918,2006-04-03,2022-03-13
101924,Canara Robeco Equity Diversified-Bonus Option,1675,2006-04-03,2013-02-01
102118,Tata Equity Savings Fund- Regular Plan - Periodic Payout of IDCW Option,4819,2006-04-03,2026-01-08
102193,DWS Equity Income Fund - Monthly Dividend option,2411,2006-04-03,2016-03-02
102194,DWS Equity Income Fund - Quarterly  Dividend,2411,2006-04-03,2016-03-02
